# Pasted by Sig 2026-08-20, described as "an old random list that may be helpful".
# Columns: Name / URL / Phone / Address / Postal / longitude / latitude
# The utm_source=basis1st on every URL says where it came from.
#
# READ THE PROVENANCE WARNING IN THE .md BESIDE THIS FILE BEFORE USING ANY
# COORDINATE. There are two populations here and one of them is wrong.
Name	URL	Phone	Address	Postal	longitude	latitude
Alcivia	https://www.alcivia.com/wisconsin-grain-services/cash-bids-grain-wisconsin-grain/			ELLSWORTH	-92.44708181	44.73160448
Alcivia	https://www.alcivia.com/wisconsin-grain-services/cash-bids-grain-wisconsin-grain/			ELMWOOD	-92.15147432	44.78130899
Alcivia	https://www.alcivia.com/wisconsin-grain-services/cash-bids-grain-wisconsin-grain/			EVANSVILLE	-89.27474328	42.76836454
Allied Cooperative	https://www.allied.coop/grain/cash-bids			ADAMS	-89.81695124	43.96664144
Allied Cooperative	https://www.allied.coop/grain/cash-bids			AUBURNDALE	-89.98890894	44.62303593
Allied Cooperative	https://www.allied.coop/grain/cash-bids			BLAIR	-91.21150574	44.30846846
Allied Cooperative	https://www.allied.coop/grain/cash-bids			HIXTON	-91.00691356	44.38205361
Allied Cooperative	https://www.allied.coop/grain/cash-bids			MAUSTON	-90.07328708	43.77569165
Allied Cooperative	https://www.allied.coop/grain/cash-bids			SEYMOUR	-88.33530871	44.51326186
Allied Cooperative	https://www.allied.coop/grain/cash-bids			STRATFORD	-90.08282956	44.80173589
Allied Cooperative	https://www.allied.coop/grain/cash-bids			TOMAH	-90.43149486	44.02783008
Allied Cooperative	https://www.allied.coop/grain/cash-bids			WEST SALEM	-91.07632499	43.89567025
Allied Cooperative	https://www.allied.coop/grain/cash-bids			WISC RAPIDS	-89.85747826	44.41560898
Badger Grain	http://www.badgergrainsupply.com/home.html		E5210 1040th Ave	Wheeler, WI 54772	-91.89922995	45.05644893
Big River Resources	https://www.bigriverresources.com/cashbidssingle-2121/			Boyceville, WI 54725	-91.97754968	45.04939503
Burnett Dairy	https://www.burnettdairy.com/				-92.58249891	45.78466026
Cadott Grain	http://www.cadottgrain.com/	715-289-4366	22939 Co Hwy X	Cadott, WI 54727	-91.20974397	44.92882701
CDR Farms	https://cdrfarmsllc.com/	715-559-5803	19687 85th St	Bloomer, WI 54724	-91.51054549	45.13090382
Chippewa Valley Grain	https://www.wheatongrain.com/wheaton-grains-local-cash-bids/		5852 County Highway T	Chippewa Falls, WI	-91.54981493	44.92776351
Cushing Coop	http://www.cushingcoop.com/			Cushing, WI	-92.64660948	45.5750303
Farmers Grain and Feed	https://fgfmill.com/cash-bids/			Allentown, WI	-88.38017632	43.42515262
Flash Grain	https://www.flashgrains.com/	715-669-5241	8576 Hwy N	Thorp, WI 54771	-90.74425523	44.91635331
Gold N' Plump	https://www.gnpcograin.com/markets/cash.php/			Arcadia, WI	-91.47002662	44.26352224
Gold N' Plump	https://www.gnpcograin.com/markets/cash.php/			Sauk Rapids, MN	-94.19640094	45.72951822
Jennie-o	https://jennieo.aghostportal.com/index.cfm?show=11&mid=3&theLocation=0&layout=1048			Dawson, MN	-96.06527133	44.93716125
Jennie-o	https://jennieo.aghostportal.com/index.cfm?show=11&mid=3&theLocation=0&layout=1047			Atwater, MN	-94.77051421	45.13911299
Jennie-o	https://jennieo.aghostportal.com/index.cfm?show=11&mid=3&theLocation=0&layout=1046			Barron, WI	-91.84751865	45.40257606
Jennie-o	https://jennieo.aghostportal.com/index.cfm?show=11&mid=3&theLocation=0&layout=1050			Northfield, MN		
Jennie-o	https://jennieo.aghostportal.com/index.cfm?show=11&mid=3&theLocation=0&layout=1051			Swanville, MN		
Jennie-o	https://jennieo.aghostportal.com/index.cfm?show=11&mid=3&theLocation=0&layout=1049			Fairbault, MN		
Marquis Energy	https://marquisinc.com/necedah-wi-cash-bids/			Necedah, WI	-90.07475993	43.99078975
Medford Coop	https://medfordcoop.com/grain-cash-bids/			Medford, WI		
Meyer Bros	http://dtn.meyerbrothersgrain.com/index.cfm?show=11&mid=3&theLocation=1&cmid=all&layout=19			Elk Mound, WI	-91.73223138	44.89174445
Midwest Commodity Service	https://midwestagsupply.com/emmerts/emmert.html			Baldwin, WI		
Northside Elevator	https://northsideelevator.com/			Arcadia, WI	-91.47133901	44.24443344
Northside Elevator	https://northsideelevator.com/			Loyal, WI	-90.49305861	44.74307577
Red Wing Grain	https://redwinggrain.agpartners.net/cash-bids/			Red Wing, MN	-92.54100641	44.56624608
River Country Coop	https://dtn.rivercountrycoop.com/index.cfm/			Marathon, WI	-89.84712417	44.91013423
River Country Coop	https://dtn.rivercountrycoop.com/index.cfm/			Boyd, WI	-91.04178552	44.95403017
River Country Coop	https://dtn.rivercountrycoop.com/index.cfm/			Owen, WI	-90.56252943	44.9573234
River Country Coop	https://dtn.rivercountrycoop.com/index.cfm/			Dorchester, WI	-90.33047782	45.00247119
River Country Coop	https://dtn.rivercountrycoop.com/index.cfm/			Brokaw, WI	-89.67593102	45.02214405
River Country Coop	https://dtn.rivercountrycoop.com/index.cfm/			Athens, WI	-90.07615248	45.04501051
River Country Coop	https://dtn.rivercountrycoop.com/index.cfm/			Bloomer, WI	-91.46982469	45.08844153
River Country Coop	https://dtn.rivercountrycoop.com/index.cfm/			Sheldon, WI	-90.95730931	45.31219141
Rooney Grain	https://www.rooneygrain.com/grain-bids-futures/			Chippewa Falls, WI	-91.43781242	44.98781583
Synergy Coop	https://www.synergycoop.com/cash_bids/			Elk Mound, WI	-91.72507419	44.90354553
Synergy Coop	https://www.synergycoop.com/cash_bids/			Ridgeland, WI	-91.89517398	45.2163008
Synergy Coop	https://www.synergycoop.com/cash_bids/			Cameron, WI	-91.73861881	45.39932582
Synergy Coop	https://www.synergycoop.com/cash_bids/			Almena, WI	-92.04074282	45.4195719
Synergy Coop	https://www.synergycoop.com/cash_bids/			Rice Lake, WI	-91.73868744	45.51678958
Wheaton Grain	https://www.wheatongrain.com/cash-bids/		5852 County Highway T	Connorsville, WI	-92.07119387	45.14544567
Wolf River Grain	http://wolfrivergrain.com/			Stevens Point, WI	-89.46230729	44.51282736
United Coop	https://www.unitedcooperative.com/grain/cash-bids/			Auroraville North	-88.98446424	44.04397439
United Coop	https://www.unitedcooperative.com/grain/cash-bids/			Beaver Dam	-88.88493784	43.44356721
United Coop	https://www.unitedcooperative.com/grain/cash-bids/			Belmont	-90.31359369	42.80911718
United Coop	https://www.unitedcooperative.com/grain/cash-bids/			Boscobel	-90.73350916	43.15660794
United Coop	https://www.unitedcooperative.com/grain/cash-bids/			Denmark	-87.83080386	44.42740552
United Coop	https://www.unitedcooperative.com/grain/cash-bids/			Greenville	-88.5043655	44.48474943
United Coop	https://www.unitedcooperative.com/grain/cash-bids/			Hartford	-88.41570558	43.35675203
United Coop	https://www.unitedcooperative.com/grain/cash-bids/			Hillsboro	-90.31253546	43.79598246
United Coop	https://www.unitedcooperative.com/grain/cash-bids/			Horicon	-88.6244458	43.48243391
United Coop	https://www.unitedcooperative.com/grain/cash-bids/			Johnson Creek	-88.77825438	43.11262646
United Coop	https://www.unitedcooperative.com/grain/cash-bids/			Oconto falls	-88.12194153	44.97791383
United Coop	https://www.unitedcooperative.com/grain/cash-bids/			Oshkosh	-88.62923117	44.02634345
United Coop	https://www.unitedcooperative.com/grain/cash-bids/			Platteville	-90.34186602	42.74878614
United Coop	https://www.unitedcooperative.com/grain/cash-bids/			Pulaski	-88.23180481	44.76769938
United Coop	https://www.unitedcooperative.com/grain/cash-bids/			Ripon North	-88.83055966	43.93498937
United Coop	https://www.unitedcooperative.com/grain/cash-bids/			Rock Springs	-89.91533933	43.53024407
United Coop	https://www.unitedcooperative.com/grain/cash-bids/			Sauk City	-89.78899652	43.32479128
United Coop	https://www.unitedcooperative.com/grain/cash-bids/			Shawano	-88.58336728	44.86511633
United Coop	https://www.unitedcooperative.com/grain/cash-bids/			Westfield	-89.47875296	43.96267338
