"Current License Status","Legal Name of Entity","Mailing Address","City, State & Zip Code","Dealer License","Warehouse Keeper License","Comments / Conditional Licenses","Dealer - Required Disclosure to Producers","Warehouse Keeper - Required Disclosure to Depositors"
"Dealer Only","Didion, Inc.","121 S Bristol St. Suite 201","Sun Prairie, WI 53590","187927","","","ATCP 99.14(2)(b)","Federal License"
"Warehouse & Dealer","Door County Cooperative","317 Green Bay Rd.","Sturgeon Bay, WI 54235-2837","187822","209657","","ATCP 99.14(2)(a)","ATCP 99.26(2)(a)"
"Dealer Only","Duffy Grain, Inc.","PO Box 250","Columbus, WI 53925","187805","","","ATCP 99.14(2)(b)","Federal License"
"Dealer Only","Dummer Farms Incorporated","N6673 County Road XX","Holmen, WI 54636","187878","","","ATCP 99.14(2)(a)","Federal License"
"Warehouse & Dealer","Eastland Feed and Grain, Inc.","PO Box 200","Shannon, IL 61078","187983","322669","","ATCP 99.14(2)(b)","ATCP 99.26(2)(a)"
"Dealer Only","Eau Galle Grain Company LLC","N435 State Road 25","Eau Galle, WI 54737","558381","","","ATCP 99.14(2)(a)","n/a"
"Dealer Only","Economy Feed Mill, LLC","PO Box 427","Bloomington, WI 53804","187989","","","ATCP 99.14(2)(a)","n/a"
"Dealer Only","Ed's Feed Service, Inc.","PO Box 52","Bloomer, WI 54724","187866","","","ATCP 99.14(2)(a)","n/a"
"Warehouse & Dealer","Edward Reinemann & Son, Inc.","PO Box 212","Reedsville, WI 54230","187920","188147","","ATCP 99.14(2)(a)","ATCP 99.26(2)(a)"
"Dealer Only","Exeland Feed Mill, Inc.","PO Box 25","Exeland, WI 54835","325353","","","ATCP 99.14(2)(a)","ATCP 99.26(2)(c)"
"Dealer Only","F.W. Cobs Co., Inc.","PO Box 30","St Albans Bay, VT 05481","502243","","","ATCP 99.14(2)(a)","n/a"
"Warehouse & Dealer","Fairwater Feed & Supply, LLC","PO Box 114","Fairwater, WI 53931","187922","188148","","ATCP 99.14(2)(a)","ATCP 99.26(2)(a)"
"Warehouse & Dealer","Fan-Agra Corp.","5764 Morrill Rd.","Mazomanie, WI 53560","331696","251981","","ATCP 99.14(2)(a)","ATCP 99.26(2)(a)"
"Dealer Only","Farm-City Elevator, Inc.","PO Box 628","Darien, WI 53114","187811","","","ATCP 99.14(2)(b)","Federal License"
"Warehouse & Dealer","Farmers Elevator Company (Limited) of Waupun","2 W Main St.","Waupun, WI 53963","187827","188109","","ATCP 99.14(2)(a)","ATCP 99.26(2)(a)"
"Warehouse & Dealer","Farmers' Grain & Feed, LLC","PO Box 428","Allenton, WI 53002","197471","197477","","ATCP 99.14(2)(a)","ATCP 99.26(2)(a)"
"Warehouse & Dealer","Flash Grain LLC","N14036 Fisher Ave.","Thorp, WI 54771","283111","283108","","ATCP 99.14(2)(a)","ATCP 99.26(2)(a)"
"Dealer Only","Fliss Feeds, Inc.","PO Box 185","Junction City, WI 54443","188022","","","ATCP 99.14(2)(a)","n/a"
"Dealer Only","Fox Valley Alfalfa Mill, Inc.","508 N 3rd St.","Hilbert, WI 54129-9295","188053","","","ATCP 99.14(2)(a)","n/a"
"Warehouse & Dealer","Furseth Farms, Inc.","2157 County Road A","Stoughton, WI 53589","296336","296329","","ATCP 99.14(2)(a)","ATCP 99.26(2)(a)"
"Warehouse & Dealer","Furst-McNess Company","1252 Bell Valley Rd. Suite 220","Rockford, IL 61108","521939","521943","","ATCP 99.14(2)(a)","ATCP 99.26(2)(a)"
"Dealer Only","General Farm Supply, Inc.","PO Box 336","Spencer, WI 54479","188052","","","ATCP 99.14(2)(a)","ATCP 99.26(2)(c)"
"Dealer Only","General Mills, Inc.","1 General Mills Blvd.  W04-C","Minneapolis, MN 55426","261138","","","ATCP 99.14(2)(a)","n/a"
"Dealer Only","Gillett Milling Co., Inc.","PO Box 416","Gillett, WI 54124","188014","","","ATCP 99.14(2)(a)","n/a"
"Dealer Only","Grain Millers, Inc.","10400 Viking Dr. Suite 301","Eden Prairie, MN 55344","187990","","","ATCP 99.14(2)(a)","n/a"
"Dealer Only","Grain St-Laurent Inc.","407 Rue McGill Suite 315","Montreal, Quebec H2Y 2G3","503549","","","ATCP 99.14(2)(a)","n/a"
"Warehouse & Dealer","Grain X Milling LLC","5102 County Road I","Sturgeon Bay, WI 54235","548481","559829","","ATCP 99.14(2)(a)","ATCP 99.26(2)(a)"
"Warehouse & Dealer","Grantland Grain, LLC","5627 Lone Elm Tree Rd.","Potosi, WI 53820","331135","514925","","n/a","ATCP 99.26(2)(a)"
"Warehouse & Dealer","Great Lakes Agri-Services, Inc.","615 Tower Ave.","Adell, WI 53001","310907","310905","GW Conditional License","ATCP 99.14(2)(a)","ATCP 99.26(2)(a)"
"Dealer Only","Growmark, Inc.","222 E Puerner St.","Jefferson, WI 53549","262569","","","ATCP 99.14(2)(a)","Federal License"
"Dealer Only","Hanmann Milling Co., Inc.","PO Box 158","Casco, WI 54205","188038","","","ATCP 99.14(2)(a)","n/a"
"Warehouse & Dealer","Hartmann Farms, LLC","W12148 Highway 60","Lodi, WI 53555","228725","270412","","ATCP 99.14(2)(a)","ATCP 99.26(2)(a)"
"Warehouse & Dealer","Harvey Creek Grain, LLC","W911 US Hwy 10","Mondovi, WI 54755","264110","262955","","ATCP 99.14(2)(a)","ATCP 99.26(2)(a)"
"Warehouse & Dealer","Hay River Grain, LLC","547 17th Ave.","Almena, WI 54805","525436","523543","","n/a","ATCP 99.26(2)(a)"
"Warehouse & Dealer","Hegg Mill, LLC","N23395 US Highway 53","Ettrick, WI 54627","228961","228960","","ATCP 99.14(2)(a)","ATCP 99.26(2)(a)"
"Dealer Only","Herdsman Feeds Inc.","E1353 State Highway 64","Boyceville, WI 54725","187957","","","ATCP 99.14(2)(a)","n/a"
"Dealer Only","Hero Farmed Cooperative","7000 Central Pkwy Ste 1460","Atlanta, GA 30328-6001","547657","","","ATCP 99.14(2)(a)","n/a"
"Dealer Only","Hesco Grains, LLC","4666 Amber Valley Parkway","Fargo, ND 58104","535718","","","ATCP 99.14(2)(a)","n/a"
"Dealer Only","Hohl's Farm Supply, Inc.","W11942 Highway 33","Portage, WI 53901","187856","","","ATCP 99.14(2)(a)","n/a"
"Warehouse & Dealer","Holtz Farms Grain LLC","101 Miller Dr","Lake Delton, WI  53940","537306","560377","","ATCP 99.14(2)(a)","ATCP 99.26(2)(a)"
"Dealer Only","Hormel Foods Corporation","1 Hormel Place","Austin, MN 55912","188086","","","ATCP 99.14(2)(a)","n/a"
"Dealer Only","Horn Feeds, Inc.","728 Clarendon Ave.","Mukwonago, WI 53149","187853","","","ATCP 99.14(2)(a)","ATCP 99.26(2)(c)"
"Dealer Only","Hughes Trucking, Inc.","W1203 Vaughn Rd.","Cambria, WI 53923","188074","","","ATCP 99.14(2)(a)","n/a"
"Dealer Only","Innovative Ag Services Co.","2010 S Main St.","Monticello, IA 52310","261453","","","ATCP 99.14(2)(a)","Federal License"
"Dealer Only","Inotiv, Inc.","1401 S Stoughton Rd.","Madison, WI 53716","503780","","","ATCP 99.14(2)(a)","n/a"
"Dealer Only","Jay-Mar, Inc.","PO Box 429","Plover, WI 54467","187948","","","ATCP 99.14(2)(a)","n/a"
"Dealer Only","Jeff Helser Grain Services LLC","9093 Marion Lane","Fremont, WI 54940","562371","","","ATCP 99.14(2)(a)","n/a"
"Dealer Only","JTA Management, LLC","630 Hattie St.","Marinette, WI 54143","331127","","","ATCP 99.14(2)(a)","n/a"
"Warehouse Only","Key Grains LLC","1225 Nelson Pkwy.","Viroqua, WI 54665","","511550","","n/a","ATCP 99.26(2)(a)"
"Dealer Only","Key Ingredients, LLC","1225 Nelson Pkwy.","Viroqua, WI 54665","536089","","","ATCP 99.14(2)(a)","n/a"
"Dealer Only","Klema Feeds, Inc.","10540 Northwestern Ave.","Franksville, WI 53126","187963","","","ATCP 99.14(2)(a)","n/a"
"Dealer Only","Koon Kreek Feeds, Inc.","PO Box 431","Coon Valley, WI 54623","187961","","","ATCP 99.14(2)(a)","ATCP 99.26(2)(c)"
"Dealer Only","Kronseder Farms, Inc.","E4614 Hwy 14-60","Spring Green, WI 53588","515935","","","ATCP 99.14(2)(b)","n/a"
"Warehouse & Dealer","Kruger, Inc.","N49494 County Road Y","Eleva, WI 54738","541453","541454","","ATCP 99.14(2)(a)","ATCP 99.26(2)(a)"
"Dealer Only","La Crosse Milling Company","PO Box 86","Cochrane, WI  54622","542196","","","ATCP 99.14(2)(a)","n/a"
"Dealer Only","Land O'Lakes, Inc.","4001 Lexington Ave. N","Arden Hills, MN 55126","188008","","","ATCP 99.14(2)(a)","n/a"
"Dealer Only","Landmark Services Cooperative","1401 Landmark Dr.","Cottage Grove, WI 53527","187803","","","ATCP 99.14(2)(b)","Federal License"
"Warehouse Only","Legacy Grain Solutions LLC","N8585 Casey Dr","Cambria, WI 53923","","558960","","n/a","ATCP 99.26(2)(a)"
"Dealer Only","Leibfried Farms, Inc.","5109 Oak Rd.","Potosi, WI 53820","511329","","","ATCP 99.14(2)(a)","n/a"
"Dealer Only","Lighthouse Commodities, LLC","4719 Shelburne St STE 9","Bismarck, ND  58503","528399","","","ATCP 99.14(2)(a)","n/a"
"Warehouse & Dealer","Lime Ridge Ag Supply, Inc.","PO Box 115","Lime Ridge, WI 53942","188085","188212","","ATCP 99.14(2)(a)","ATCP 99.26(2)(a)"
"Warehouse & Dealer","Linden Milling Co., Inc.","PO Box 529","Linden, WI 53553","188011","188175","","ATCP 99.14(2)(a)","ATCP 99.26(2)(a)"
"Warehouse & Dealer","Luther Grain Sales & Service, LLC","E12434 Highway 33","Baraboo, WI 53913","187973","188162","","ATCP 99.14(2)(a)","ATCP 99.26(2)(a)"
"Warehouse & Dealer","Luxemburg Milling Co. Ltd.","219 Cedar St.","Luxemburg, WI 54217","187884","188194","","ATCP 99.14(2)(a)","ATCP 99.26(2)(a)"
"Warehouse & Dealer","Main Grain L.L.C.","N2672 Vine St.","Conrath, WI 54731","187993","193987","","ATCP 99.14(2)(a)","ATCP 99.26(2)(a)"
"Dealer Only","Malteurop North America Inc.","6737 W Washington St.","Milwaukee, WI 53214","271136","","","ATCP 99.14(2)(a)","n/a"
"Dealer Only","Maribel Grain Company","PO Box 167","Maribel, WI 54227","188065","","","ATCP 99.14(2)(a)","Federal License"
"Dealer Only","McHugh, Judith d/b/a McHugh Farms","1900 Old Highway 93","Holmen, WI 54636","261554","","","ATCP 99.14(2)(a)","n/a"
"Dealer Only","McMillan Farms, Inc.","200955 Galvin Ave.","Marshfield, WI 54449","211203","","","ATCP 99.14(2)(a)","ATCP 99.26(2)(c)"
"Warehouse & Dealer","Medford Co-operative, Inc.","PO Box 407","Medford, WI 54451","187882","204116","","ATCP 99.14(2)(a)","ATCP 99.26(2)(a)"
"Warehouse & Dealer","Melrose Farm Service, Inc.","PO Box 295","Melrose, WI 54642","187873","188135","","ATCP 99.14(2)(a)","ATCP 99.26(2)(a)"
"Warehouse & Dealer","Meyer Brothers Grain, Inc.","N5406 970th St.","Elk Mound, WI 54739","187899","188132","","ATCP 99.14(2)(b)","ATCP 99.26(2)(a)"
"Warehouse & Dealer","Michaelson, Larry D","1063 185th Ave.","Balsam Lake, WI 54810","331897","331907","","ATCP 99.14(2)(a)","ATCP 99.26(2)(a)"
"Dealer Only","Middleton Farmers Cooperative Company","PO Box 620348","Middleton, WI 53562-0348","188082","","","ATCP 99.14(2)(a)","ATCP 99.26(2)(c)"
"Warehouse & Dealer","Midwest Commodity Service, Inc.","1881 140TH Ave.","Baldwin, WI 54002","252525","286621","","ATCP 99.14(2)(a)","ATCP 99.26(2)(a)"
"Warehouse & Dealer","Mt. Tabor Mill, LLC","S765 County Road V","Kendall, WI 54638","525849","525825","","n/a","ATCP 99.26(2)(a)"
"Warehouse & Dealer","New Age Grain, LLC","S9179 Highway 78","Prairie Du Sac, WI 53578","321879","329222","","ATCP 99.14(2)(a)","ATCP 99.26(2)(a)"
"Producer Agent / Dealer","NFO Members Grain, Inc.","PO Box 2508","Ames, IA 50010","279517","","","ATCP 99.14(2)(a)","n/a"
"Warehouse & Dealer","Northside Elevator, Inc.","PO Box 159","Loyal, WI 54446","187887","188122","","ATCP 99.14(2)(b)","ATCP 99.26(2)(a)"
"Warehouse & Dealer","Nutrition Service Company, LLC","W249 Deer Dr.","Pulaski, WI 54162","188044","188189","","ATCP 99.14(2)(b)","ATCP 99.26(2)(a)"
"Warehouse & Dealer","Oakfield Elevator Company, Inc.","PO Box 67","Oakfield, WI 53065-0067","187875","188117","","ATCP 99.14(2)(a)","ATCP 99.26(2)(a)"
"Warehouse & Dealer","Olson Feed Service, Inc.","18998 Olson Feed Rd.","Gays Mills, WI 54631","188029","282583","","ATCP 99.14(2)(a)","ATCP 99.26(2)(a)"
"Warehouse & Dealer","Oregon Farm Center, Inc.","4636 State Road 138","Oregon, WI 53575","187892","536002","","ATCP 99.14(2)(a)","ATCP 99.26(2)(a)"
"Warehouse & Dealer","Peachey Brothers Elevator, Inc.","PO Box 36","Burnett, WI 53922","187933","188154","","ATCP 99.14(2)(a)","ATCP 99.26(2)(a)"
"Dealer Only","Peshtigo Feed Mill, Inc.","305 Railroad St.","Peshtigo, WI 54157","187941","","","ATCP 99.14(2)(a)","ATCP 99.26(2)(c)"
"Dealer Only","Peter Grain, Inc.","118576 County Road A","Athens, WI 54411","187885","","","ATCP 99.14(2)(a)","n/a"
"Dealer Only","Pfister, Donald","N3091 County Road T","New Holstein, WI 53061","188069","","","ATCP 99.14(2)(a)","n/a"
"Dealer Only","Phil's Eggs, LLC","968 South Kent Rd.","Pearl City, IL 61060","331467","","","ATCP 99.14(2)(a)","n/a"
"Dealer Only","Pilgrim's Pride Corporation","1770 Promontory Circle","Greeley, CO 80634","319692","","","ATCP 99.14(2)(a)","n/a"
"Dealer Only","Plains Salvage, Inc.","717 Union Ave.","Lowden, IA 52255","198419","","","ATCP 99.14(2)(a)","n/a"
"Warehouse & Dealer","Pleasant Grain, LLC","N5670 Gutzmer Rd.","Monticello, WI 53570","187976","188163","","ATCP 99.14(2)(b)","ATCP 99.26(2)(a)"
"Warehouse & Dealer","Plum City Feed Mill, Inc.","400 1st St.","Plum City, WI 54761","187855","188174","","ATCP 99.14(2)(a)","ATCP 99.26(2)(a)"
"Dealer Only","Poskin Feed Store, Inc.","968 14th Ave.","Poskin, WI 54812","188043","","","ATCP 99.14(2)(a)","ATCP 99.26(2)(c)"
"Dealer Only","Potter Farm Supply, Inc.","PO Box 8","Potter, WI 54160","199288","","","ATCP 99.14(2)(a)","ATCP 99.26(2)(c)"
"Warehouse & Dealer","Prairie Ag Supply, LLC","E6565 629th Ave.","Menomonie, WI 54751","187991","262530","","ATCP 99.14(2)(a)","ATCP 99.26(2)(a)"
"Dealer Only","Premier Cooperative","501 W Main St.","Mount Horeb, WI 53572","187817","","","ATCP 99.14(2)(b)","Federal License"
"Dealer Only","ProVision Partners Cooperative","PO Box 988","Marshfield, WI 54449","188075","","","ATCP 99.14(2)(a)","Federal License"
"Dealer Only","Quality Roasting, Inc.","2514 Marken Rd.","Valders, WI 54245","188047","","","ATCP 99.14(2)(a)","Federal License"
"Dealer Only","Red Cedar Grain Service, Inc.","PO Box 385","Menomonie, WI 54751","188048","","","ATCP 99.14(2)(a)","n/a"
"Dealer Only","Red Wing Grain, LLC","810 Levee Rd.","Red Wing, MN 55066","273877","","","ATCP 99.14(2)(a)","n/a"
"Warehouse & Dealer","Reddy Feed & Grain LLC","PO Box 38","Stitzer, WI 53825","548173","548122","","ATCP 99.14(2)(a)","ATCP 99.26(2)(a)"
"Dealer Only","Redwood Group, LLC (The)","5920 Nail Ave","Mission, KS 66202","561815","","","ATCP 99.14(2)(a)","n/a"
"Warehouse & Dealer","Reynolds Feed and Supply LLC","PO Box 248","Cobb, WI 53526","211450","310263","","ATCP 99.14(2)(a)","ATCP 99.26(2)(a)"
"Dealer Only","Rio Creek Feed Mill, Inc.","N7295 Feed Mill Ln.","Algoma, WI 54201","188050","","","ATCP 99.14(2)(b)","Federal License"
"Dealer Only","River Country Co-op","16779 98th St.","Bloomer, WI 54724","188015","","","ATCP 99.14(2)(b)","Federal License"
"Dealer Only","River Valley Cooperative","254 E 90th","Davenport","528473","","","ATCP 99.14(2)(a)","ATCP 99.26(2)(a)"
"Warehouse & Dealer","Riverdale Ag Service, Inc.","PO Box 327","Muscoda, WI 53573","187846","188126","","ATCP 99.14(2)(a)","ATCP 99.26(2)(a)"
"Dealer Only","Riverland Ag Corp.","701 Xenia Ave S Ste 400","Golden Valley, MN 55416","522336","","","ATCP 99.14(2)(a)","n/a"
"Warehouse & Dealer","Rooney Grain, LLC","9996 County Highway Q","Chippewa Falls, WI 54729","328704","328705","","ATCP 99.14(2)(a)","ATCP 99.26(2)(a)"
"Warehouse Only","Rusk Prairie Grain Service","PO Box 385","Menomonie, WI 54751","","287717","","n/a","ATCP 99.26(2)(a)"
"Dealer Only","S & S Grains LLP","N29483 River Valley Rd.","Arcadia, WI 54612","187921","","","ATCP 99.14(2)(a)","ATCP 99.26(2)(c)"
"Dealer Only","Salentine Brothers Family Limited Partnership","S87W22355 Forest Home Ave.","Big Bend, WI 53103","187999","","","ATCP 99.14(2)(a)","ATCP 99.26(2)(c)"
"Dealer Only","Saukville Feed Supplies, Inc.","313 W Church St.","Saukville, WI 53080","195143","","","ATCP 99.14(2)(a)","ATCP 99.26(2)(c)"
"Dealer Only","SB&B Foods, LLC","PO Box 549","Casselton, ND 58012","241832","","","ATCP 99.14(2)(a)","n/a"
"Warehouse & Dealer","Schroeder Family Farms, Inc.","N5814 530th Street","Ellsworth, WI  54011","531085","536201","","ATCP 99.14(2)(a)","ATCP 99.26(2)(a)"
"Dealer Only","Schumitsch Companies, Inc.","420 Wausau Rd.","Antigo, WI 54409","520819","","","ATCP 99.14(2)(a)","n/a"
"Dealer Only","Scoular Company (The)","10801 Mastin Ste 800","Overland Park, KS 66210-1669","188062","","","ATCP 99.14(2)(a)","n/a"
"Warehouse & Dealer","See-Mor Grain, Inc.","12785 County Road O","Darlington, WI 53530","188057","188197","","ATCP 99.14(2)(b)","ATCP 99.26(2)(a)"
"Warehouse & Dealer","Seymour Flour Mill, Inc.","213 E Wisconsin St.","Seymour, WI 54165","187869","188116","","ATCP 99.14(2)(a)","ATCP 99.26(2)(a)"
"Warehouse & Dealer","Sparta Cooperative Services","325 Hemstock Dr.","Sparta, WI 54656","187906","188138","","ATCP 99.14(2)(a)","ATCP 99.26(2)(a)"
"Dealer Only","Spooner Mills of Thorp, Inc.","213 E Soo St.","Thorp, WI 54771","187956","","","ATCP 99.14(2)(a)","ATCP 99.26(2)(c)"
"Warehouse & Dealer","Star Blends, LLC","1919 Riley Rd.","Sparta, WI 54656","187978","289573","","ATCP 99.14(2)(a)","ATCP 99.26(2)(a)"
"Warehouse & Dealer","Stello Storage, LLC","N8754 State Road 108","Mindoro, WI 54644","330865","321881","","ATCP 99.14(2)(a)","ATCP 99.26(2)(a)"
"Dealer Only","Stephenson Marketing Cooperative, Inc.","PO Box 399","Stephenson, MI 49887-0399","188007","","","ATCP 99.14(2)(a)","n/a"
