operator,label,town,state,stateHint,why,locationId,rows,commodities,platform,board
"Hillsdale Elevator Company","Ophiem","Ophiem","","IL","no directory row for this operator at this town","3569","5","#1 Yellow Soybeans","cashbidssingle","https://hillsdaleelevator.com/"
"Hillsdale Elevator Company","Viola","Viola","","IL","no directory row for this operator at this town","3570","5","#1 Yellow Soybeans","cashbidssingle","https://hillsdaleelevator.com/"
"Hillsdale Elevator Company","Galva","Galva","","IL","no directory row for this operator at this town","3633","5","#2 Yellow Corn","cashbidssingle","https://hillsdaleelevator.com/"
"Hillsdale Elevator Company","CHS Annawan","","","IL","""CHS Annawan"" carries a grain buyer's name (chs) — a destination, not a town","3634","6","#2 Yellow Corn","cashbidssingle","https://hillsdaleelevator.com/"
"Hillsdale Elevator Company","CHS Davenport","","","IL","""CHS Davenport"" carries a grain buyer's name (chs) — a destination, not a town","3636","4","#1 Yellow Soybeans #2 Yellow Corn","cashbidssingle","https://hillsdaleelevator.com/"
"Hillsdale Elevator Company","ILL River","ILL River","","IL","no directory row for this operator at this town","3637","6","#1 Yellow Soybeans #2 Yellow Corn","cashbidssingle","https://hillsdaleelevator.com/"
"Hillsdale Elevator Company","Mis River","Mis River","","IL","no directory row for this operator at this town","3638","4","#1 Yellow Soybeans #2 Yellow Corn","cashbidssingle","https://hillsdaleelevator.com/"
"Morrow County Grain Growers","Lexington","Lexington","","OR","no directory row for this operator at this town","448","16","Sww Max 10.5% Pro - Min 9.0% Pro Dark Northern Spring 14.0% Pro Hard Red Winter 11.5% Pro Corn Boardman","cashbidssingle","https://mcgg.net/"
"North Prairie Ag - NPA Coop","Nekoma / Osnabrock","","","ND","""Nekoma / Osnabrock"" joins two names — decide which town this bid belongs to, or whether it is one","1595","7","Spring Wheat Soybeans Canola Corn Durum Feed Wheat","cashbidssingle","https://npacoop.com/cashbidssingle-1595"
"Northwest Grain Growers","NWGG","","","","""NWGG"" peels to the initialism ""NWGG"" — find out which yard it means","1779","23","Soft White Wheat (Portland) Hard Red Winter (Portland) Dns (Portland) Barley (Portland) Canola (Delivered Elevator)","cashbidssingle","https://nwgrgr.com/"
"One Earth Energy","One Earth Energy Cash Bids","","","IL","""One Earth Energy Cash Bids"" is the operator's own name — the board does not say which yard","3643","10","Yellow Corn","cashbidssingle","https://oneearthenergy.com/"
"Pomeroy Grain","PGG","","","WA","""PGG"" peels to the initialism ""PGG"" — find out which yard it means","1738","20","Swh 10.5% Pro Barley Dns 14.0% Pro Hrw 11.5% Pro Whc 10.5% Pro Canola","cashbidssingle","https://pomeroygrain.com/"
"Reddy Feed and Grain","Stitzer","Stitzer","","WI","no directory row for this operator at this town","2555","7","Corn Soybeans","cashbidssingle","https://reddyagservice.com/"
"Scranton Equity Exchange","Cash Bids","","","","""Cash Bids"" is nothing but the operator's name and boilerplate","1763","19","Canola Usd/Cwt Corn Durum Hi Oleic Sunflower Spring Wheat Winter Wheat","cashbidssingle","https://scrantonequity.org/cashbidssingle-1763"
"Tempel Grain","Bethune Cash Bids","Bethune","","CO","no directory row for this operator at this town","1612","4","Corn Wheat Milo","cashbidssingle","https://tempelgrain.com/cashbidssingle-1612"
"Vogelsberg Grain","VHGC INC","","","MI","""VHGC INC"" carries a company suffix (inc) — a business, not a place","3574","7","Corn Soybeans Wheat","cashbidssingle","https://vgrain.com/"
"Wheaton Grain","Chippewa Falls","Chippewa Falls","","WI","no directory row for this operator at this town","2644","4","Corn Soybeans","cashbidssingle","https://wheatongrain.com/"
"Big River Resources","Galva","Galva","","IA","no directory row for this operator at this town","2163","14","Corn","cashbidssingle","https://www.bigriverresources.com/cashbidssingle-2163"
"Prairie Grain Partners","Boyd","Boyd","","MN","no directory row for this operator at this town","1542","10","Corn Soybeans","cashbidssingle","https://www.prairiegrainpartners.com/cash-bids"
