name,city,state,county,phone,address,licences,capacity,licensedBy,outOfState,source
"PENNINGTON SEED INC PPK1, PPK2, PPK3, D&D COMMODITIES",GREELEY,CO,,,,dealer+warehouse,,,,registry-sd
Pilgrim's Pride Corporation,Greeley,CO,,,1770 Promontory Circle,dealer+warehouse,,,,registry-wi
Roggen Farmers Elevator Association,Commerce City,CO,,N/A,,,,,,barchart
Roggen Farmers Elevator Association,Pierce,CO,, 970-381-4402,,,,,,barchart
"Viserion Grain, LLC",Denver,CO,,,,dealer,,,,registry-id
WAGNER'S LLC SHAFER SEED COMPANY,FLAGLER,CO,,,,dealer+warehouse,,,,registry-sd
West Plains LLC,Greeley,CO,,970-660-1740,,,,,,barchart
LOUIS DREYFUS COMPANY LLC,WILTON,CT,,,,dealer+warehouse,,,,registry-sd
LOUIS DREYFUS COMPANY LLC,WILTON,CT,,,,dealer,"1,000,000",,,registry-ne
Dakota Growers Coop,Plankinton,,,605-942-7731,,dealer,,IA,yes,registry-ia
Laurel Grain Company,Laurel,DE,,N/A,,,,,,barchart
"Eastland Feed and Grain, Inc.",Shannon,,,815-864-2723,,dealer,,IA,yes,registry-ia
AGrowStar,Bonaire,GA,,478-225-4465,,,,,,barchart
AGrowStar,Davisboro,GA,,478-247-0395,,,,,,barchart
Cain Agra,Marshallville,GA,,478-967-2291,,,,,,barchart
COMMODITY MARKETING COMPANY,ALPHARETTA,GA,,,,dealer+warehouse,,,,registry-sd
Hero Farmed Cooperative,Atlanta,GA,,,7000 Central Pkwy Ste 1460,dealer+warehouse,,,,registry-wi
"PENNINGTON SEED INC PPK1, PPK2, PPK3, D&D COMMODITIES",MADISON,GA,,,,dealer+warehouse,,,,registry-sd
"Grain Millers, Inc.",Eden Prairie,,,952-983-1310,,dealer,,IA,yes,registry-ia
Grain St-Laurent Inc.,Montreal,,,514-871-2033,,dealer,,IA,yes,registry-ia
Hansen-Mueller Co.,Omaha,,,402-491-3385,,dealer,,IA,yes,registry-ia
"218 Grain, LLC",Crawfordsville,IA,Washington,319-400-8384,,dealer,,,,registry-ia
21st Century Coop,Cumberland,IA,,888-744-5412,,,,,,barchart
21st Century Cooperative,Cumberland,IA,Cass,712-774-5412,,dealer,,,,registry-ia
"A & K Feed & Grain Co., Inc.",Lime Springs,IA,Howard,563-566-2291,,warehouse,,,,registry-ia
ADM Corn Processing,Cedar Rapids,IA,Linn,217-972-2313,,dealer,,,,registry-ia
ADM Grain,Clinton,IA,,563-242-5251,,,,,,barchart
ADM Grain,Clinton,IA,,563-242-1121,,,,,,barchart
ADM Grain,Des Moines,IA,,515-263-3250,,,,,,barchart
ADM Grain Company,Burlington,IA,Des Moines,319-753-2858,,dealer,,,,registry-ia
ADM Grain Company,Clinton,IA,Clinton,563-242-5251,,warehouse+dealer,,,,registry-ia
ADM Processing,Des Moines,IA,Polk,515-263-3280,,dealer,,,,registry-ia
"Ag Partners, L.L.C.",Albert City,IA,Buena Vista,712-843-2291,,warehouse,,,,registry-ia
AGP,Eage Grove,IA,,(515) 448?4711,,,,,,barchart
AGP,Mason City,IA,,(800) 247-6372,,,,,,barchart
AGP,Sheldon,IA,,(800) 798-4282,,,,,,barchart
"Agri-Center of Henry County, Inc.",Mount Pleasant,IA,Henry,319-385-2548,,warehouse+dealer,,,,registry-ia
"Agri-Way Partners, L.L.C.",Wayland,IA,Henry,319-256-6000,,warehouse+dealer,,,,registry-ia
"Agri-Way Partners, LLC.",Cedar Rapids,IA,,319-256-6000,,,,,,barchart
"Agriland FS, Inc.",Oskaloosa,IA,Mahaska,217-853-1182,,warehouse+dealer,,,,registry-ia
AgState,Albert City,IA,Buena Vista,712-225-5400,,dealer,,,,registry-ia
AgState,Alton,IA,,712-756-5460,,,,,,barchart
AgState,Ellsworth,IA,,515-836-2126,,,,,,barchart
AgState,Hospers,IA,,712-752-8421,,,,,,barchart
AgState,Maurice,IA,,712-567-3000,,,,,,barchart
AgState,Sheldon,IA,,712-324-2548,,,,,,barchart
"AgVantage FS Grain Marketing, LLC",Waverly,IA,Bremer,319-483-4900,,warehouse,,,,registry-ia
"Allison Farmers Feed and Grain, Inc.",Allison,IA,Butler,319-267-2475,,warehouse,,,,registry-ia
"Amana Farms, Inc.",Homestead,IA,Iowa,319-622-3791,,warehouse+dealer,,,,registry-ia
AMERICAN POP CORN COMPANY,SIOUX CITY,IA,,,,dealer,"1,000,000",,,registry-ne
"Andover Grain & Fertilizer, Inc.",Andover,IA,Clinton,563-682-7599,,warehouse+dealer,,,,registry-ia
Archer Coop Grain Co,Archer,IA,,712-723-5233,,,,,,barchart
Archer Cooperative Grain Company,Archer,IA,O'Brien,712-723-5233,,dealer,,,,registry-ia
"Art's Milling Service, Inc.",Protivin,IA,Howard,563-569-8386,,warehouse+dealer,,,,registry-ia
Aspinwall Cooperative Co.,Aspinwall,IA,Crawford,712-653-3441,,warehouse+dealer,,,,registry-ia
Aurora Elevator Inc.,Aurora,IA,,319-634-3330,,,,,,barchart
"Aurora Elevator, Inc.",Aurora,IA,Buchanan,319-634-3330,,warehouse+dealer,,,,registry-ia
"B & B Farm Store, Inc.",Jesup,IA,Buchanan,319-827-1463,,warehouse,,,,registry-ia
"B B And P Feed And Grain, Inc.",Winterset,IA,Madison,515-462-3113,,warehouse,,,,registry-ia
"Balk Grain and Trucking, Inc.",Clinton,IA,,N/A,,,,,,barchart
"Bartlett Grain Company, LLC",Council Bluffs,IA,Pottawattamie,712-322-3444,,dealer,,,,registry-ia
"Bartlett Grain Company, LLC",Hamburg,IA,Fremont,712-382-1238,,dealer,,,,registry-ia
"Bartlett Grain Company, LLC",Council Bluffs,IA,,712-322-3444,,,,,,barchart
"Bartlett Grain Company, LLC",Council Bluffs,IA,,712-322-3444,,,,,,barchart
"Bartlett Grain Company, LLC",Hamburg,IA,,712-382-1238,,,,,,barchart
"Bear River Milling, LLC",Hopkinton,IA,Deleware,507-215-5582,,dealer,,,,registry-ia
Bennett Grain LLC,Bennett,IA,Cedar,563-893-2425,,warehouse,,,,registry-ia
"Benton Grain Company, L.L.C.",Keystone,IA,Benton,319-442-3231,,warehouse+dealer,,,,registry-ia
Bieri Grain LLC,Letts,IA,Louisa,319-726-3791,,warehouse,,,,registry-ia
Big River Resources,Dyersville,IA,,563-875-5530,,,,,,barchart
"Big River Resources Boyceville, LLC",West Burlington,IA,,,211 North Gear Suite 200,dealer+warehouse,,,,registry-wi
Big River Resources West Burlington,West Burlington,IA,Des Moines,319-753-1100,,dealer,,,,registry-ia
"Big River United Energy, LLC",Dyersville,IA,Delaware,319-753-1100,,dealer,,,,registry-ia
Bill Murray Grain Service Incorporated,Hopkinton,IA,Delaware,563-926-2240,,dealer,,,,registry-ia
"Breda Feed & Grain, Inc.",Breda,IA,Carroll,712-673-2398,,warehouse+dealer,,,,registry-ia
"Bruntlett Elevator, Inc.",Gowrie,IA,Webster,515-352-3118,,warehouse+dealer,,,,registry-ia
Buckingham Co-Operative Co.,Buckingham,IA,Tama,319-478-2331,,warehouse+dealer,,,,registry-ia
Buckingham Coop,Buckingham,IA,,800-682-5819,,,,,,barchart
Buckingham Coop,Cedar Rapids,IA,,319-478-2331,,,,,,barchart
Buckingham Coop,Iowa Falls,IA,,319-478-2331,,,,,,barchart
Buckingham Coop,Shell Rock,IA,,N/A,,,,,,barchart
"Bullock Ag Service, Inc.- Preston",Preston,IA,Jackson,563-689-5951,,warehouse+dealer,,,,registry-ia
"Bullocks, Inc.",Maquoketa,IA,Jackson,563-652-3819,,warehouse+dealer,,,,registry-ia
"Bunge North America, Inc.",Council Bluffs,IA,Pottawattamie,712-366-3600,,dealer,,,,registry-ia
"Bunge USA Grain, LLC",Creston,IA,Union,515-697-4410,,dealer,,,,registry-ia
"Bunge USA Grain, LLC",Dubuque,IA,Dubuque,563-564-4737,,dealer,,,,registry-ia
"Bunge USA Grain, LLC",Joice,IA,Worth,641-323-1190,,dealer,,,,registry-ia
"Bunkers Feed & Supply, Inc.",Granville,IA,Sioux,712-727-3243,,dealer,,,,registry-ia
"Capitol Grain, LLC",Iowa City,IA,Johnson,319-331-4426,,dealer,,,,registry-ia
Cargill US,Cedar Rapids,IA,,1-800-515-1105,,,,,,barchart
Cargill US,Cedar Rapids,IA,,402-237-3731,,,,,,barchart
Cargill US,Iowa Falls,IA,,402) 237-3731 ,,,,,,barchart
"Cargill, Incorporated",Muscatine,IA,Muscatine,563-263-3556,,dealer,,,,registry-ia
"CARGILL, INCORPORATED",SIOUX CITY,IA,,,,dealer+warehouse,,,,registry-sd
Carson Grain Company,Troy Mills,IA,Linn,319-224-3296,,warehouse+dealer,,,,registry-ia
"Cartersville Elevator, Inc.",Rockwell,IA,Cerro Gordo,641-822-4550,,warehouse+dealer,,,,registry-ia
Cedar County Coop,Cedar Rapids,IA,,(319) 398?4100,,,,,,barchart
Cedar County Coop,Clinton,IA,,563-242-1121,,,,,,barchart
Cedar County Coop,Tipton,IA,,(563) 886-6177,,,,,,barchart
Cedar County Cooperative,Tipton,IA,Cedar,563-886-6177,,warehouse+dealer,,,,registry-ia
Central Farm Service,Dolliver,IA,Emmet,507-776-2831,,dealer,,,,registry-ia
Central Farm Service,Dolliver,IA,,712-865-2600,,,,,,barchart
Central Valley Ag,Akron,IA,,712-568-2426,,,,,,barchart
Central Valley Ag,Council Bluffs,IA,,N/A,,,,,,barchart
Central Valley Ag Cooperative,Hinton,IA,Plymouth,712-947-4212,,dealer,,,,registry-ia
CENTRAL VALLEY AG COOPERATIVE,HINTON,IA,,,,dealer+warehouse,,,,registry-sd
CFE Cooperative Farmers Elevator,Allendorf,IA,,N/A,,,,,,barchart
CFE Cooperative Farmers Elevator,Alvord,IA,,N/A,,,,,,barchart
CFE Cooperative Farmers Elevator,Ashton,IA,,N/A,,,,,,barchart
CFE Cooperative Farmers Elevator,George,IA,,N/A,,,,,,barchart
CFE Cooperative Farmers Elevator,George,IA,,N/A,,,,,,barchart
CFE Cooperative Farmers Elevator,Hawarden,IA,,N/A,,,,,,barchart
CFE Cooperative Farmers Elevator,Inwood,IA,,N/A,,,,,,barchart
CFE Cooperative Farmers Elevator,Larchwood,IA,,N/A,,,,,,barchart
CFE Cooperative Farmers Elevator,Lester,IA,,N/A,,,,,,barchart
CFE Cooperative Farmers Elevator,Rock Rapids,IA,,N/A,,,,,,barchart
CFE Cooperative Farmers Elevator,Rock Valley,IA,,N/A,,,,,,barchart
CFE Cooperative Farmers Elevator,Sibley,IA,,N/A,,,,,,barchart
"CFF Commodities, LLC",Forest City,IA,Winnebago,507-794-8604,,dealer,,,,registry-ia
"Chem Gro of Houghton, Inc.",Houghton,IA,Lee,319-469-2611,,dealer,,,,registry-ia
Christensen Farms,Forest City,IA,,641-565-3200,,,,,,barchart
CHS - Ag Terminals,St Ansgar,IA,,651-355-6510,,,,,,barchart
CHS Illinois,Clinton,IA,,N/A,,,,,,barchart
"CHS, Inc.",Davenport,IA,Scott,563-326-3581,,dealer,,,,registry-ia
Circle J Grain,Marengo,IA,,3196681912,,,,,,barchart
"Circle J Grain, Inc.",Williamsburg,IA,Iowa,319-668-1912,,dealer,,,,registry-ia
"Clinton Grain, LLC",Clinton,IA,Clinton,563-249-4216,,warehouse+dealer,,,,registry-ia
Cogdill Farm Supply,Dow City,IA,,712-674-3344,,,,,,barchart
Cogdill Farm Supply,Dunlap,IA,,712-643-5360,,,,,,barchart
Cogdill Farm Supply,Harlan,IA,,712-799-4291,,,,,,barchart
Cogdill Farm Supply,Logan,IA,,712-644-2540,,,,,,barchart
Cogdill Farm Supply,Panama,IA,,712-489-2535,,,,,,barchart
Cogdill Farm Supply,Soldier,IA,,712-884-2201,,,,,,barchart
"Cogdill Farm Supply, Inc.",Dunlap,IA,Harrison,712-643-5360,,dealer,,,,registry-ia
"Come And Save Here, Inc.",Lawler,IA,Chickasaw,563-238-7421,,warehouse+dealer,,,,registry-ia
Consolidated Grain & Barge,Clayton,IA,,563-964-2651,,,,,,barchart
Consolidated Grain & Barge,Fayette,IA,,563-425-3361,,,,,,barchart
Consolidated Grain and Barge Co.,Fayette,IA,Fayette,812-557-6441,,dealer,,,,registry-ia
Cooperative Farmers Elevator,Rock Valley,IA,Sioux,712-476-5321,,dealer,,,,registry-ia
"County Line Feed Mill, LLC",La Porte City,IA,Black Hawk,319-239-3081,,warehouse+dealer,,,,registry-ia
Craig Coop,Le Mars,IA,,712-562-6544,,,,,,barchart
"Crawfordsville Feed & Grain, Inc.",Crawfordsville,IA,Washington,319-658-3700,,warehouse+dealer,,,,registry-ia
"D & J Feed Service, Inc.",Monona,IA,Clayton,563-539-2037,,warehouse,,,,registry-ia
"Dave's Feed Store, Inc.",Luxemburg,IA,Dubuque,563-853-2415,,warehouse+dealer,,,,registry-ia
"Daybreak Foods, Inc.",Estherville,IA,Emmet,712-362-7224,,dealer,,,,registry-ia
"Daybreak Foods, Inc.",Graettinger,IA,Palo Alto,712-859-3663,,dealer,,,,registry-ia
Delmar Grain,Delmar,IA,,N/A,,,,,,barchart
Delmar Grain Service Inc.,Delmar,IA,Clinton,563-674-4261,,warehouse+dealer,,,,registry-ia
"DFS Oskaloosa, LLC",Oskaloosa,IA,Mahaska,641-673-9461,,dealer,,,,registry-ia
Doon Elevator Company,Doon,IA,Lyon,712-726-3215,,warehouse+dealer,,,,registry-ia
"Doon Elevator, Inc.",Doon,IA,,712-726-3215,,,,,,barchart
"Doug's Feed Service, Inc.",Baxter,IA,Jasper,641-227-3141,,warehouse,,,,registry-ia
"Duffe Grain, Inc.",Wilton,IA,Muscatine,563-732-3310,,warehouse,,,,registry-ia
Dunkerton Coop,Cedar Rapids,IA,,N/A,,,,,,barchart
Dunkerton Coop,Cedar Rapids,IA,,N/A,,,,,,barchart
Dunkerton Coop,Cedar Rapids Direct,IA,,319-822-4291,,,,,,barchart
Dunkerton Coop,Dunkerton,IA,,800-627-3528,,,,,,barchart
Dunkerton Coop,Shell Rock ,IA,,N/A,,,,,,barchart
Dunkerton Cooperative Elevator,Dunkerton,IA,Black Hawk,319-822-4291,,warehouse+dealer,,,,registry-ia
"Earling Grain & Feed, Inc.",Earling,IA,Shelby,712-747-2323,,warehouse,,,,registry-ia
Eastland Feed & Grain Inc.,Cedar Rapids,IA,,N/A,,,,,,barchart
Eastland Feed & Grain Inc.,Clinton,IA,,N/A,,,,,,barchart
Eastland Feed & Grain Inc.,Clinton,IA,,N/A,,,,,,barchart
Eastland Feed & Grain Inc.,Dyersville,IA,,N/A,,,,,,barchart
Edgewood Feed Mill Inc,Edgewood,IA,,(563) 928-6405,,,,,,barchart
"Edgewood Feed Mill, Inc.",Edgewood,IA,Delaware,563-928-6405,,warehouse,,,,registry-ia
"Eichelberger Milling, Inc.",Wayland,IA,Henry,319-256-5100,,warehouse+dealer,,,,registry-ia
Elite Octane,Atlantic,IA,,712-254-9850,,,,,,barchart
"Elite Octane, LLC",Atlantic,IA,Cass,712-790-0767,,dealer,,,,registry-ia
"Ewing Enterprises, Inc.",Clio,IA,Wayne,641-876-2444,,warehouse+dealer,,,,registry-ia
Exporter Elevator Co.,West Chester,IA,Washington,319-698-2515,,warehouse+dealer,,,,registry-ia
F. J. Krob & Co.,Ely,IA,Linn,319-848-4161,,warehouse,,,,registry-ia
F. J. Krob & Co.,Walker,IA,Linn,319-624-3770,,warehouse+dealer,,,,registry-ia
FAAS Feed & Grain,Webster City,IA,,N/A,,,,,,barchart
"Faas Feed and Grain, Inc.",North English,IA,Iowa,319-330-0222,,dealer,,,,registry-ia
Fagen Elevator Inc.,Keota,IA,Keokuk,641-636-3089,,dealer,,,,registry-ia
"Fairchild Feed and Supply, Inc.",Winthrop,IA,Buchanan,319-935-3371,,warehouse+dealer,,,,registry-ia
Farmers Coop Society, Sioux Center,IA,,N/A,,,,,,barchart
Farmers Coop Society,Boyden,IA,,(712) 725-2386,,,,,,barchart
Farmers Coop Society,Ireton,IA,,(712) 722-4800,,,,,,barchart
Farmers Coop Society,Little Rock,IA,,(712) 479-2020,,,,,,barchart
Farmers Coop Society,Sheldon,IA,,(712) 324-5197,,,,,,barchart
Farmers Coop Society,Sioux Center,IA,,(712) 722-2671,,,,,,barchart
Farmers Cooperative Association,Ainsworth,IA,Washington,319-657-3661,,warehouse+dealer,,,,registry-ia
Farmers Cooperative Company,Craig,IA,Plymouth,712-562-6544,,dealer,,,,registry-ia
Farmers Cooperative Company,Readlyn,IA,Bremer,319-279-3396,,warehouse+dealer,,,,registry-ia
Farmers Cooperative Company,Remsen,IA,Plymouth,712-786-1134,,warehouse+dealer,,,,registry-ia
Farmers Cooperative Elevator Co.,Arcadia,IA,Carroll,712-689-2296,,warehouse+dealer,,,,registry-ia
Farmers Cooperative Elevator Company,Radcliffe,IA,Hardin,515-899-2101,,dealer,,,,registry-ia
Farmers Cooperative Elevator of Ottosen,Ottosen,IA,Humboldt,515-379-1065,,warehouse+dealer,,,,registry-ia
Farmers Cooperative Society,Sioux Center,IA,Sioux,712-722-2671,,dealer,,,,registry-ia
"Farmers Elevator & Exchange, Inc.",Wapello,IA,Louisa,319-523-5351,,dealer,,,,registry-ia
"Farmers Elevator & Exchange, Inc.",Cedar Rapids,IA,,N/A,,,,,,barchart
Farmers Feed & Grain Co Inc.,Charles City,IA,,641.228.1351,,,,,,barchart
Farmers Feed & Grain Co Inc.,Riceville,IA,,6419852456,,,,,,barchart
"Farmers Feed & Grain Company, Inc.",Riceville,IA,Howard,641-985-2147,,dealer,,,,registry-ia
"Farmers Mill, Inc.",Protivin,IA,Chickasaw,563-569-8501,,dealer,,,,registry-ia
Farmers Shipping Association,Dyersville,IA,Dubuque,563-875-7953,,warehouse+dealer,,,,registry-ia
Farmers Union Cooperative,Ossian,IA,Winneshiek,563-532-9381,,warehouse,,,,registry-ia
Farmers Win Coop,Charles City,IA,,563-237-5324,,,,,,barchart
Farmers Win Coop,Cresco,IA,,563-547-4349,,,,,,barchart
Farmers Win Coop,Cresco,IA,,N/A,,,,,,barchart
Farmers Win Coop,Cresco,IA,,563-547-5404,,,,,,barchart
Farmers Win Coop,Fairbank,IA,,3196359404,,,,,,barchart
Farmers Win Coop,Fredericksburg,IA,,563-237-5324,,,,,,barchart
Farmers Win Coop,Hawkeye,IA,,563-427-3214,,,,,,barchart
Farmers Win Coop,Lawler,IA,,563-237-5324,,,,,,barchart
Farmers Win Coop,Mason City,IA,,563-237-5324,,,,,,barchart
Farmers Win Coop,McGregor,IA,,N/A,,,,,,barchart
Farmers Win Coop,Ridgeway,IA,,563-737-2244,,,,,,barchart
Farmers Win Coop,Shell Rock,IA,,(319) 820-2600,,,,,,barchart
Farmers Win Coop,Shell Rock,IA,,N/A,,,,,,barchart
Farmers Win Coop,Sumner,IA,,563-578-3432,,,,,,barchart
Farmers Win Coop,Waverly,IA,,319-352-1354,,,,,,barchart
Farmers Win Cooperative,Fredericksburg,IA,Chickasaw,563-237-5324,,dealer,,,,registry-ia
"Farrell's Trucking II, Inc.",Preston,IA,Jackson,563-689-5952,,warehouse+dealer,,,,registry-ia
"Feeders Grain and Supply, Inc.",Corning,IA,Adams,641-322-4011,,warehouse,,,,registry-ia
"Figanbaum Grain, Inc.",Tripoli,IA,Bremer,319-882-4274,,warehouse+dealer,,,,registry-ia
Five Star Cooperative,New Hampton,IA,Chickasaw,641-394-3052,,dealer,,,,registry-ia
Five Star Cooperative,Burchinal,IA,,641-822-4660,,,,,,barchart
Five Star Cooperative,Charles City,IA,,(641) 715-3000,,,,,,barchart
Five Star Cooperative,Dougherty,IA,,641-794-3434,,,,,,barchart
Five Star Cooperative,Forest City,IA,,N/A,,,,,,barchart
Five Star Cooperative,Ionia,IA,,641-394-3616,,,,,,barchart
Five Star Cooperative,Lawler,IA,,563-238-2814,,,,,,barchart
Five Star Cooperative,Lime Springs,IA,,N/A,,,,,,barchart
Five Star Cooperative,Lime Springs,IA,,563-566-2291,,,,,,barchart
Five Star Cooperative,Mason City,IA,,N/A,,,,,,barchart
Five Star Cooperative,Mason City,IA,,N/A,,,,,,barchart
Five Star Cooperative,N. Wash,IA,,641-394-3616,,,,,,barchart
Five Star Cooperative,Nashua,IA,,(641)435-4665,,,,,,barchart
Five Star Cooperative,New Hampton,IA,,(641)394-3052,,,,,,barchart
Five Star Cooperative,New Hampton,IA,,(641) 394-3052,,,,,,barchart
Five Star Cooperative,Rockwell,IA,,(641)822-3221,,,,,,barchart
Five Star Cooperative,Scarville,IA,,641-568-3351,,,,,,barchart
Five Star Cooperative,Sheffield,IA,,641-822-3221,,,,,,barchart
Five Star Cooperative,Shell Rock,IA,,319-419-6329,,,,,,barchart
FJ Krob,Walker,IA,,319-448-4393,,,,,,barchart
"Formanek Elevator, Inc.",Hayfield,IA,Hancock,641-860-1819,,warehouse,,,,registry-ia
"Fremont Elevator, Inc.",Fremont,IA,Mahaska,641-933-4416,,warehouse+dealer,,,,registry-ia
Fremont Farms,Malcom,IA,,515-229-5340,,,,,,barchart
"Fremont Farms of Iowa, L.L.P.",Malcom,IA,Powshiek,641-792-2270,,dealer,,,,registry-ia
Frontier Cooperative,Council Bluffs,IA,,(712) 366-0392,,,,,,barchart
Frontier Cooperative,Council Bluffs,IA,,(712) 366-3600,,,,,,barchart
FS Grain,Clinton,IA,,5632425251,,,,,,barchart
"FTF, Inc.",Rockford,IA,Floyd,641-425-7822,,warehouse+dealer,,,,registry-ia
"G & I Feed & Grain, Inc.",Mount Ayr,IA,Ringgold,641-464-2828,,warehouse,,,,registry-ia
"Garnavillo Mill, Inc.",Garnavillo,IA,Clayton,563-964-2243,,warehouse+dealer,,,,registry-ia
Gengler Feed Service Incorporated,Remsen,IA,Plymouth,712-786-2234,,dealer,,,,registry-ia
George Elevator Co.,George,IA,Lyon,712-475-3386,,warehouse,,,,registry-ia
"Global Processing, Inc.",Kanawha,IA,Hancock,641-762-3288,,warehouse,,,,registry-ia
Goettsch Grain Co.,Galva,IA,Ida,712-251-8886,,warehouse+dealer,,,,registry-ia
Gold-Eagle Cooperative,Forest City,IA,Winnebago,641-585-2814,,dealer,,,,registry-ia
Gold-Eagle Cooperative,Goldfield,IA,Wright,515-825-3161,,warehouse+dealer,,,,registry-ia
Gold-Eagle Cooperative,Clarion,IA,,515-532-2881,,,,,,barchart
Gold-Eagle Cooperative,Clarion,IA,,515-825-3111,,,,,,barchart
